marque,modele_version,cnit,puissance_fiscale,puissance_reelle,bv,urb,ex-urb,mixte,co2,carburant,etiquette_energie,bonus(-)/malus(_),type_2
SMART,SMART FORFOUR 1.1L BVA6,MST3104CH293,4.0,55.0,A 6,6.8,4.4,5.3,125.0,ES,C,-200,MST3104C
TOYOTA,NOUVELLE YARIS 3P 1.0 VVT-i MultiMode,MJT3161RY482,4.0,51.0,A 5,6.0,4.9,5.3,125.0,ES,C,-200,MJT3161R
TOYOTA,NOUVELLE YARIS 3P 1.0 VVT-i MultiMode,MJT3171RL626,4.0,51.0,A 5,6.0,4.9,5.3,125.0,ES,C,-200,MJT3171R
FIAT,PANDA 1.2L 8V Dualogic,MFT1012EV544,4.0,44.0,M 5,6.8,4.6,5.4,127.0,ES,C,-200,MFT1012E
FIAT,PANDA 1.2L 8V Dualogic,MFT1012EW545,4.0,44.0,M 5,6.8,4.6,5.4,127.0,ES,C,-200,MFT1012E
SMART,SMART FORTWO CABRIOLET BRABUS (55kW) SOFTOUCH,MST3105DL330,4.0,55.0,A 6,6.5,4.6,5.3,127.0,ES,C,-200,MST3105D
SMART,SMART FORTWO COUPE BRABUS (55kW) SOFTOUCH,MST3101D8325,4.0,55.0,A 6,6.5,4.6,5.3,127.0,ES,C,-200,MST3101D
TOYOTA,NOUVELLE YARIS 3P 1.0 VVT-i,MJT1161RT483,4.0,51.0,M 5,6.4,4.9,5.4,127.0,ES,C,-200,MJT1161R
TOYOTA,NOUVELLE YARIS 3P 1.0 VVT-i,MJT1161RU484,4.0,51.0,M 5,6.4,4.9,5.4,127.0,ES,C,-200,MJT1161R
TOYOTA,NOUVELLE YARIS 3P 1.0 VVT-i,MJT1171RG627,4.0,51.0,M 5,6.4,4.9,5.4,127.0,ES,C,-200,MJT1171R
TOYOTA,NOUVELLE YARIS 3P 1.0 VVT-i,MJT1171RH628,4.0,51.0,M 5,6.4,4.9,5.4,127.0,ES,C,-200,MJT1171R
TOYOTA,NOUVELLE YARIS 5P 1.0 VVT-i,MJT1162RG493,4.0,51.0,M 5,6.4,4.9,5.4,127.0,ES,C,-200,MJT1162R
TOYOTA,NOUVELLE YARIS 5P 1.0 VVT-i,MJT1162RH494,4.0,51.0,M 5,6.4,4.9,5.4,127.0,ES,C,-200,MJT1162R
TOYOTA,NOUVELLE YARIS 5P 1.0 VVT-i,MJT1172RS637,4.0,51.0,M 5,6.4,4.9,5.4,127.0,ES,C,-200,MJT1172R
TOYOTA,NOUVELLE YARIS 5P 1.0 VVT-i,MJT1172RT638,4.0,51.0,M 5,6.4,4.9,5.4,127.0,ES,C,-200,MJT1172R
MINI,MINI ONE,MMN1201AY174,5.0,70.0,M 6,6.8,4.4,5.3,128.0,ES,C,-200,MMN1201A
SMART,SMART FORFOUR 1.0L BVM5,MST1004CK312,4.0,47.0,M 5,6.9,4.5,5.4,128.0,ES,C,-200,MST1004C
SMART,SMART FORFOUR 1.0L BVM5,MST1004CM314,4.0,47.0,M 5,6.9,4.5,5.4,128.0,ES,C,-200,MST1004C
DAIHATSU,CUORE II BVA4,MJD3102J1186,4.0,51.0,A 4,6.6,4.8,5.5,129.0,ES,C,-200,MJD3102J
FIAT,PANDA 1.2L 8V,MFT1012EP961,4.0,44.0,M 5,7.0,4.6,5.5,129.0,ES,C,-200,MFT1012E
FIAT,PANDA 1.2L 8V,MFT1012EP962,4.0,44.0,M 5,7.0,4.6,5.5,129.0,ES,C,-200,MFT1012E
HONDA,JAZZ 1.2 Drive / Cool,MJH1102TH449,5.0,57.0,M 5,6.8,4.7,5.5,129.0,ES,C,-200,MJH1102T
HONDA,JAZZ 1.2 Drive / Cool,MJH1102TX465,5.0,57.0,M 5,6.8,4.7,5.5,129.0,ES,C,-200,MJH1102T
MAZDA,MAZDA2 1.3L (75ch),MJZ1112NE724,5.0,55.0,M 5,6.9,4.6,5.4,129.0,ES,C,-200,MJZ1112N
MAZDA,MAZDA2 1.3L (86ch),MJZ1212NN723,5.0,63.0,M 5,6.9,4.6,5.4,129.0,ES,C,-200,MJZ1212N
MAZDA,MAZDA2 1.3L MZR (75ch),MJZ1111N2750,5.0,55.0,M 5,6.9,4.6,5.4,129.0,ES,C,-200,MJZ1111N
MAZDA,MAZDA2 1.3L MZR (86ch),MJZ1211NB749,5.0,63.0,M 5,6.9,4.6,5.4,129.0,ES,C,-200,MJZ1211N
MINI,MINI COOPER,MMN1401AM178,6.0,88.0,M 6,6.9,4.5,5.4,129.0,ES,C,-200,MMN1401A
CITROEN,C2 1.4i 16V SensoDrive STT,MCT3211RA298,5.0,65.0,A 5,6.8,4.8,5.6,130.0,ES,C,-200,MCT3211R
HYUNDAI,GETZ 5P 1.1Clim / PACK Sound,MHY1022UW422,4.0,48.5,M 5,6.9,4.7,5.5,130.0,ES,C,-200,MHY1022U
LANCIA,YPSILON 1.4L 8V,MLC1101A6485,5.0,57.0,M 5,7.2,4.6,5.5,130.0,ES,C,-200,MLC1101A
LANCIA,YPSILON 1.4L 8V,MLC1101AU484,5.0,57.0,M 5,7.2,4.6,5.5,130.0,ES,C,-200,MLC1101A
RENAULT,Twingo 1.2L (60ch) Eco2,MRE1031FY088,4.0,43.0,M 5,7.1,4.6,5.5,130.0,ES,C,-200,MRE1031F
SMART,SMART FORFOUR 1.1L BVA6,MST3104CF291,5.0,55.0,A 6,7.1,4.6,5.5,130.0,ES,C,-200,MST3104C
SMART,SMART FORFOUR 1.1L BVA6,MST3104CG292,5.0,55.0,A 6,7.1,4.6,5.5,130.0,ES,C,-200,MST3104C
SMART,SMART FORFOUR 1.1L BVA6,MST3104CJ294,5.0,55.0,A 6,7.1,4.6,5.5,130.0,ES,C,-200,MST3104C
SMART,SMART FORFOUR 1.1L BVA6,MST3104CJ295,5.0,55.0,A 6,7.1,4.6,5.5,130.0,ES,C,-200,MST3104C
SMART,SMART FORFOUR 1.1L BVM5,MST1104CR284,5.0,55.0,M 5,7.0,4.6,5.5,130.0,ES,C,-200,MST1104C
SMART,SMART FORFOUR 1.1L BVM5,MST1104CU287,5.0,55.0,M 5,7.0,4.6,5.5,130.0,ES,C,-200,MST1104C
OPEL,AGILA 1.2 BVM5,MPL12F4N7374,5.0,63.0,M 5,6.9,4.7,5.5,131.0,ES,C,-,MPL12F4N
SUZUKI,SPLASH 1.2,MJS1204XD804,5.0,63.0,M 5,6.9,4.7,5.5,131.0,ES,C,-,MJS1204X
CHEVROLET,AVEO 3P 1.2,MG11201AH507,5.0,62.0,M 5,7.2,4.6,5.5,132.0,ES,C,-,MG11201A
CHEVROLET,AVEO 5P 1.2,MG11202AE502,5.0,62.0,M 5,7.2,4.6,5.5,132.0,ES,C,-,MG11202A
CHEVROLET,MATIZ 0.8 AUTO,MG13002K8500,4.0,38.0,A 4,7.6,4.6,5.7,132.0,ES,C,-,MG13002K
FIAT,PANDA 1.1L 8V,MFT1022ET347,4.0,40.0,M 5,7.0,4.8,5.6,132.0,ES,C,-,MFT1022E
FIAT,PANDA 1.1L 8V,MFT1022EU348,4.0,40.0,M 5,7.0,4.8,5.6,132.0,ES,C,-,MFT1022E
MINI,MINI COOPER CLUBMAN,MMN1404AX208,6.0,88.0,M 6,7.1,4.5,5.5,132.0,ES,C,-,MMN1404A
RENAULT,GRAND MODUS 1.2L 16V (80ch) QUICKSHIFT5 Eco2,MRE3136SJ263,5.0,57.5,A 5,7.0,4.8,5.6,132.0,ES,C,-,MRE3136S
RENAULT,MODUS 1.2 16V (80ch) EURO 4 BVR5 Eco2,MRE3136SG261,5.0,57.5,A 5,7.0,4.8,5.6,132.0,ES,C,-,MRE3136S
RENAULT,Twingo 1.2L 16v (75ch) QUICKSHIFT5 Eco2,MRE3121FK799,5.0,56.0,A 5,7.0,4.8,5.6,132.0,ES,C,-,MRE3121F
AUDI,A3 1.4 TFSI (125ch) S tronic,MAU35I4GY737,7.0,92.0,A 7,7.1,4.8,5.6,133.0,ES,C,-,MAU35I4G
AUDI,A3 1.4 TFSI (125ch) S tronic,MAU35I4GZ738,7.0,92.0,A 7,7.1,4.8,5.6,133.0,ES,C,-,MAU35I4G
RENAULT,CLIO 3P 1.2L 16v  QUICKSHIFT (75ch) Eco2 GF,MRE3121EJ385,5.0,57.5,A 5,7.1,4.7,5.6,133.0,ES,C,-,MRE3121E
RENAULT,CLIO 3P 1.2L 16v  QUICKSHIFT 5 Eco2,MRE3121EX267,5.0,57.5,A 5,7.1,4.7,5.6,133.0,ES,C,-,MRE3121E
RENAULT,"CLIO 3P 1.2L 16v QUICKSHIFT5  Roues 16""",MRE3121E2757,5.0,57.5,A 5,7.1,4.7,5.6,133.0,ES,C,-,MRE3121E
RENAULT,CLIO 5P 1.2L 16v QUICKSHIFT Eco2,MRE3122ED378,5.0,57.5,A 5,7.1,4.7,5.6,133.0,ES,C,-,MRE3122E
RENAULT,CLIO 5P 1.2L 16v QUICKSHIFT5 Eco2,MRE3122EU262,5.0,57.5,A 5,7.1,4.7,5.6,133.0,ES,C,-,MRE3122E
