marque,modele_version,cnit,puissance_fiscale,puissance_reelle,bv,urb,ex-urb,mixte,co2,carburant,etiquette_energie,bonus(-)/malus(+)
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BRE59,9,80.0,M 6,13.0,8.4,10.1,268.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BRE77,9,80.0,M 6,11.9,7.8,9.3,247.0,GO,F,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BRE86,9,80.0,M 6,12.2,8.1,9.6,255.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BRE95,9,80.0,M 6,12.6,8.2,9.8,260.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BRF58,9,80.0,M 6,12.2,8.1,9.6,255.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BRF67,9,80.0,M 6,13.3,8.7,10.4,276.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BRI19,9,80.0,M 6,12.1,8.0,9.5,252.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BRI28,9,80.0,M 6,12.7,8.3,9.9,263.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BRI37,9,80.0,M 6,13.1,8.5,10.2,271.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BRI55,9,80.0,M 6,11.9,7.8,9.3,247.0,GO,F,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BRI64,9,80.0,M 6,12.2,8.1,9.6,255.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BRI73,9,80.0,M 6,12.7,8.3,9.9,263.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BRI82,9,80.0,M 6,12.9,8.5,10.1,268.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BRI91,9,80.0,M 6,13.0,8.4,10.1,268.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BRJ36,9,80.0,M 6,12.1,8.0,9.5,252.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BRJ45,9,80.0,M 6,12.8,8.4,10.0,266.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BRJ54,9,80.0,M 6,13.1,8.5,10.2,271.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BRJ72,9,80.0,M 6,11.9,7.8,9.3,247.0,GO,F,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BRJ81,9,80.0,M 6,12.3,8.2,9.7,258.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BRJ90,9,80.0,M 6,12.7,8.3,9.9,263.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BRK08,9,80.0,M 6,13.0,8.4,10.1,268.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BSC98,9,80.0,M 6,12.1,8.0,9.5,252.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BSE78,9,80.0,M 6,11.9,7.8,9.3,247.0,GO,F,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BSE87,9,80.0,M 6,12.2,8.1,9.6,255.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BSE96,9,80.0,M 6,12.6,8.2,9.8,260.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BSF59,9,80.0,M 6,12.3,8.2,9.7,258.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BSF68,9,80.0,M 6,13.3,8.7,10.4,276.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BSI29,9,80.0,M 6,12.8,8.4,10.0,266.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BSI38,9,80.0,M 6,13.1,8.5,10.2,271.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BSI56,9,80.0,M 6,11.9,7.8,9.3,247.0,GO,F,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BSI65,9,80.0,M 6,12.3,8.2,9.7,258.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BSI74,9,80.0,M 6,12.7,8.3,9.9,263.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BSI83,9,80.0,M 6,12.9,8.5,10.1,268.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BSI92,9,80.0,M 6,13.0,8.4,10.1,268.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BSJ37,9,80.0,M 6,12.2,8.1,9.6,255.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BSJ46,9,80.0,M 6,12.8,8.4,10.0,266.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BSJ55,9,80.0,M 6,13.3,8.7,10.4,276.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BSJ73,9,80.0,M 6,12.1,8.0,9.5,252.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BSJ82,9,80.0,M 6,12.3,8.2,9.7,258.0,GO,G,+ 2600
